Name (or Code),RIC,Country,Market Capitalisation (million USD),adv(million USD),GICS Sector,GICS Industry,99/10/18-00/4/1,99/10/18-99/11/19,99/10/18-00/3/6,99/11/19-00/3/6,99/10/18-00/12/31,00/3/6-00/12/31,16/11/8-17/4/30,16/12/1-17/4/30
KI Holdings Co Ltd,6747.T,Japan,108.8803175,0.112429878,Industrials,Electrical Equipment,-22.2565543,-7.777777778,-17.77777778,-10.84337349,-37.12921348,-23.53552991,-7.006369431,-11.51515152
Maruzen-Yushodo Co Ltd,8236.T^A10,Japan,NULL,0,Consumer Discretionary,Specialty Retail,-5.853227228,-19.23076923,-7.692307688,14.28571429,23.32449161,33.60153257,,
Meiji Electric Industries Co Ltd,3388.T,Japan,135.7862064,0.136160791,Industrials,Trading Companies & Distributors,,,,,,,18.173258,8.846487421
Nitta Gelatin Inc,4977.T,Japan,121.4168281,0.486437769,Materials,Chemicals,,,,,,,4.390934845,0.408719346
Hokkaido Chuo Bus Co Ltd,9085.SP,Japan,150.9109657,0.004601998,Industrials,Road & Rail,12.265625,,12.265625,12.265625,36.24961237,21.3636074,30.80684597,27.99043062
Atlus Co Ltd,7866.Q^D10,Japan,NULL,0,Information Technology,Software,,,,,,,,
NJS Co Ltd,2325.T,Japan,123.8769838,0.089512239,Industrials,Commercial Services & Supplies,,,,,,,8.889174194,4.335183339
NJS Co Ltd,23251.T^H04,Japan,123.8769838,0,Industrials,Commercial Services & Supplies,,,,,,,,
Agrex Inc,47991.T^K05,Japan,125.0544024,0,Information Technology,IT Services,,,,,,,,
Agrex Inc,4799.T^C15,Japan,125.0544024,0.075822852,Information Technology,IT Services,,,,,,,,
Gaba Corp,2133.T^K11,Japan,NULL,0.049497889,Consumer Discretionary,Diversified Consumer Services,,,,,,,,
Tabuchi Electric Co Ltd,6624.T,Japan,119.477912,0.482529013,Information Technology,"Electronic Equipment, Instruments & Components",-1.696963333,10.74918566,-2.280130297,-11.76470588,-48.36608175,-47.16129032,3.134796236,-9.366391187
Mutoh Holdings Co Ltd,7999.T,Japan,115.5049969,0.156726792,Information Technology,"Technology Hardware, Storage & Peripherals",20.79510704,23.85321101,26.91131499,2.469135802,-14.67889908,-32.77108434,-1.673640169,-10.64638783
Excel Co Ltd,7591.T,Japan,119.521829,0.062721007,Information Technology,"Electronic Equipment, Instruments & Components",-19,40,-22.5,-44.64285714,-49.50331126,-34.84298227,3.382663847,2.444134076
Wood One Co Ltd,7898.T,Japan,128.3965317,0.1139592,Materials,Paper & Forest Products,-5.699832372,1.420959149,-5.506216693,-6.83012259,4.939665161,11.05457046,10.64638783,7.380073799
Premium Water Holdings Inc,2588.T,Japan,133.2212133,0.029527715,Consumer Discretionary,Distributors,,,,,,,15.46391753,8.108108109
Kyosei Rentemu Co Ltd,9680.T^J16,Japan,124.5280979,0.079995201,Industrials,Trading Companies & Distributors,-17.77777778,-8.888888887,-20,-12.19512195,-49.44444444,-36.80555556,,
Change Inc,3962.T,Japan,159.7309782,3.667308659,Information Technology,IT Services,,,,,,,27.3768614,35.6097561
TBK Co Ltd,7277.T,Japan,131.9135434,0.150671061,Consumer Discretionary,Auto Components,-20.68965517,-20.68965517,-34.48275862,-17.39130435,-37.93103449,-5.263157897,8.225108229,5.485232071
Thine Electronics Inc,6769.T,Japan,110.0905541,0.214744093,Information Technology,Semiconductors & Semiconductor Equipment,,,,,,,-4.260157939,-3.430842656
Medinet Co Ltd,2370.T,Japan,106.3640738,0.440622527,Health Care,Life Sciences Tools & Services,,,,,,,-7.913669061,-8.571428568
